album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
x (Wembley Edition),17,3iyJ2Yl3bQNQhHht2lWLnL,Reuf (feat. Ed Sheeran),spotify:track:3iyJ2Yl3bQNQhHht2lWLnL,0.0854,0.767,0.694,0.0,0.118,-7.12,0.0651,120.046,0.339,27
x (Wembley Edition),17,3Th56VIq2sEaEmPPETu7p5,All of the Stars,spotify:track:3Th56VIq2sEaEmPPETu7p5,0.00886,0.54,0.557,0.000182,0.307,-6.097,0.0259,75.035,0.287,57
x (Wembley Edition),17,4OfhH0rJ8Dg0cLwtC0cRk2,Photograph - Felix Jaehn Remix,spotify:track:4OfhH0rJ8Dg0cLwtC0cRk2,0.0997,0.726,0.697,0.00733,0.0823,-6.257,0.0404,120.004,0.54,38
Live at the Bedford,5,7GtrkWkk5MxDaIlGOr7UU9,Wake Me Up - Live at the Bedford,spotify:track:7GtrkWkk5MxDaIlGOr7UU9,0.792,0.616,0.141,0.0,0.897,-17.161,0.532,107.874,0.361,40
Loose Change,5,0CNrpbpJ9HsFffF9hqWIIe,One Night,spotify:track:0CNrpbpJ9HsFffF9hqWIIe,0.379,0.781,0.836,0.0,0.289,-5.496,0.0658,94.989,0.636,45
Loose Change,7,1Fj5Hfda761tgxKbJUlFxN,The City - Live at Sticky Studios; Loose Change EP,spotify:track:1Fj5Hfda761tgxKbJUlFxN,0.507,0.712,0.569,0.0,0.412,-6.032,0.204,105.032,0.837,38
+,2,4RnCPWlBsY7oUDdyruod7Y,Drunk,spotify:track:4RnCPWlBsY7oUDdyruod7Y,0.419,0.733,0.652,2.37e-06,0.521,-9.101,0.0696,99.998,0.459,65
+,3,5Ukzlujip1Slqka5OY82YS,U.N.I.,spotify:track:5Ukzlujip1Slqka5OY82YS,0.323,0.422,0.405,0.0,0.15,-11.126,0.101,74.13,0.578,56
+,4,0obzwoGjXdORtAwYWZ9s53,Grade 8,spotify:track:0obzwoGjXdORtAwYWZ9s53,0.0446,0.74,0.807,4.02e-05,0.0538,-9.976,0.0363,101.042,0.781,53
+,5,0ygAYQQy7bfDN6gH640bbl,Wake Me Up,spotify:track:0ygAYQQy7bfDN6gH640bbl,0.902,0.616,0.209,0.0,0.139,-13.43,0.406,86.891,0.336,58
+,6,4z1O25cq9g2kuJemmUxc21,Small Bump,spotify:track:4z1O25cq9g2kuJemmUxc21,0.689,0.81,0.436,0.000151,0.11,-12.683,0.0717,119.973,0.446,65
+,7,0pJfsPQesJyCnR5XWZyvj9,This,spotify:track:0pJfsPQesJyCnR5XWZyvj9,0.95,0.588,0.0929,0.00539,0.128,-14.301,0.0443,152.139,0.502,56
+,8,4ucfQOYOe1Jz5KqCfpGobp,The City,spotify:track:4ucfQOYOe1Jz5KqCfpGobp,0.0415,0.74,0.505,6.82e-05,0.0707,-10.338,0.0674,97.994,0.646,51
+,9,5ubHAQtKuFfiG4FXfLP804,Lego House,spotify:track:5ubHAQtKuFfiG4FXfLP804,0.562,0.592,0.637,0.0,0.13,-8.48,0.0992,159.701,0.565,70
+,10,5KL4iZkCTZyXl7KnHgfVDj,"You Need Me, I Don't Need You",spotify:track:5KL4iZkCTZyXl7KnHgfVDj,0.162,0.749,0.837,0.0,0.525,-8.837,0.0512,103.483,0.927,63
+,11,0Tel1fmuCxEFV6wBLXsEdk,Kiss Me,spotify:track:0Tel1fmuCxEFV6wBLXsEdk,0.64,0.589,0.227,0.00469,0.0248,-16.67,0.0498,74.993,0.182,72
+,12,0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,0.694,0.526,0.328,0.0,0.112,-9.864,0.0461,116.068,0.11,73
+,13,7iBSkXB0pTvZasOLf0Qxk9,Autumn Leaves - Deluxe Edition,spotify:track:7iBSkXB0pTvZasOLf0Qxk9,0.892,0.555,0.257,1.42e-06,0.124,-12.637,0.0299,89.013,0.431,57
+,14,4bcgRbGeq4IejesjsiHyTH,Little Bird - Deluxe Edition,spotify:track:4bcgRbGeq4IejesjsiHyTH,0.565,0.843,0.425,0.0,0.102,-8.676,0.0352,104.02,0.284,53
+,15,4mT5mVFaU7trA3UdbGqfB9,Gold Rush - Deluxe Edition,spotify:track:4mT5mVFaU7trA3UdbGqfB9,0.729,0.74,0.248,0.0,0.141,-12.659,0.109,83.786,0.889,53
+,16,3YPiRYIUFlcQ0aaLGmeswS,Sunburn - Deluxe Edition,spotify:track:3YPiRYIUFlcQ0aaLGmeswS,0.865,0.464,0.098,0.0,0.101,-12.119,0.0376,78.864,0.234,52
+,1,1VdZ0vKfR5jneCmWIUAMxK,The A Team,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.996,0.407,75
No.5 Collaborations Project,1,1iyJwocwqUMwLgmu9O5Y13,Lately (feat. Devlin),spotify:track:1iyJwocwqUMwLgmu9O5Y13,0.0928,0.718,0.82,0.0,0.391,-5.552,0.103,90.013,0.329,40
No.5 Collaborations Project,2,7h7KBBdYIzrxOsLfR9aUO7,You (feat. Wiley),spotify:track:7h7KBBdYIzrxOsLfR9aUO7,0.386,0.799,0.532,0.00017,0.0978,-9.472,0.0707,100.032,0.189,39
No.5 Collaborations Project,3,79d2OA4Sj4nfw0vk8EV82D,Family (feat. P Money),spotify:track:79d2OA4Sj4nfw0vk8EV82D,0.515,0.476,0.704,0.0,0.094,-5.411,0.278,140.396,0.297,39
No.5 Collaborations Project,4,5KB7EYQuHd0S5WKVWpagYu,Radio (feat. JME),spotify:track:5KB7EYQuHd0S5WKVWpagYu,0.214,0.693,0.833,0.0,0.117,-5.408,0.263,99.901,0.759,40
No.5 Collaborations Project,5,5rKb6l02IplvF9I0sJI9Lj,Little Lady (feat. Mikill Pane),spotify:track:5rKb6l02IplvF9I0sJI9Lj,0.731,0.437,0.5,0.0,0.157,-7.103,0.105,85.293,0.437,46
No.5 Collaborations Project,7,4MKPqVv3FqKCZTcKHfR125,"Nightmares (feat. Random Impulse, Sway & Wretch 32)",spotify:track:4MKPqVv3FqKCZTcKHfR125,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,0.429,37
No.5 Collaborations Project,8,1SdyQYIFM05qkexCFKZxW1,Goodbye to You (feat. Dot Rotten),spotify:track:1SdyQYIFM05qkexCFKZxW1,0.267,0.64,0.664,0.0,0.329,-7.812,0.152,140.007,0.275,37
